ctry,year,sex,pred_lag
Argentina,1950,total,-14
Argentina,1950,total,-11
Argentina,1950,total,-14
Argentina,1950,total,-12
Argentina,1950,total,-12
Argentina,1950,total,-11
Argentina,1950,total,-13
Argentina,1950,total,-12
Argentina,1950,total,-12
Argentina,1950,total,-15
Argentina,1950,total,-12
Argentina,1950,total,-11
Argentina,1950,total,-9
Argentina,1950,total,-15
Argentina,1950,total,-13
Argentina,1950,total,-14
Argentina,1950,total,-11
Argentina,1950,total,-13
Argentina,1950,total,-14
Argentina,1950,total,-13
Argentina,1950,total,-11
Argentina,1950,total,-9
Argentina,1950,total,-13
Argentina,1950,total,-11
Argentina,1950,total,-12
Argentina,1950,total,-11
Argentina,1950,total,-15
Argentina,1950,total,-11
Argentina,1950,total,-12
Argentina,1950,total,-13
Argentina,1950,total,-12
Argentina,1950,total,-13
Argentina,1950,total,-14
Argentina,1950,total,-13
Argentina,1950,total,-14
Argentina,1950,total,-13
Argentina,1950,total,-12
Argentina,1950,total,-9
Argentina,1950,total,-11
Argentina,1950,total,-13
Argentina,1950,total,-11
Argentina,1950,total,-11
Argentina,1950,total,-9
Argentina,1950,total,-14
Argentina,1950,total,-13
Argentina,1950,total,-10
Argentina,1950,total,-13
Argentina,1950,total,-12
Argentina,1950,total,-13
Argentina,1950,total,-11
Argentina,1950,total,-10
Argentina,1950,total,-13
Argentina,1950,total,-12
Argentina,1950,total,-10
Argentina,1950,total,-13
Argentina,1950,total,-13
Argentina,1950,total,-9
Argentina,1950,total,-11
Argentina,1950,total,-11
Argentina,1950,total,-13
Argentina,1950,total,-10
Argentina,1950,total,-10
Argentina,1950,total,-13
Argentina,1950,total,-10
Argentina,1950,total,-12
Argentina,1950,total,-11
Argentina,1950,total,-12
Argentina,1950,total,-13
Argentina,1950,total,-13
Argentina,1950,total,-12
Argentina,1950,total,-12
Argentina,1950,total,-11
Argentina,1950,total,-14
Argentina,1950,total,-12
Argentina,1950,total,-11
Argentina,1950,total,-12
Argentina,1950,total,-13
Argentina,1950,total,-10
Argentina,1950,total,-12
Argentina,1950,total,-11
Argentina,1950,total,-13
Argentina,1950,total,-11
Argentina,1950,total,-8
Argentina,1950,total,-12
Argentina,1950,total,-10
Argentina,1950,total,-15
Argentina,1950,total,-14
Argentina,1950,total,-12
Argentina,1950,total,-10
Argentina,1950,total,-11
Argentina,1950,total,-12
Argentina,1950,total,-13
Argentina,1950,total,-12
Argentina,1950,total,-7
Argentina,1950,total,-12
Argentina,1950,total,-10
Argentina,1950,total,-13
Argentina,1950,total,-12
Argentina,1950,total,-13
Argentina,1950,total,-12
Argentina,1950,total,-14
Argentina,1950,total,-13
Argentina,1950,total,-16
Argentina,1950,total,-12
Argentina,1950,total,-11
Argentina,1950,total,-12
Argentina,1950,total,-12
Argentina,1950,total,-12
Argentina,1950,total,-10
Argentina,1950,total,-11
Argentina,1950,total,-13
Argentina,1950,total,-11
Argentina,1950,total,-10
Argentina,1950,total,-14
Argentina,1950,total,-12
Argentina,1950,total,-12
Argentina,1950,total,-10
Argentina,1950,total,-10
Argentina,1950,total,-14
Argentina,1950,total,-14
Argentina,1950,total,-14
Argentina,1950,total,-11
Argentina,1950,total,-14
Argentina,1950,total,-13
Argentina,1950,total,-9
Argentina,1950,total,-14
Argentina,1950,total,-12
Argentina,1950,total,-10
Argentina,1950,total,-14
Argentina,1950,total,-11
Argentina,1950,total,-12
Argentina,1950,total,-13
Argentina,1950,total,-13
Argentina,1950,total,-15
Argentina,1950,total,-13
Argentina,1950,total,-12
Argentina,1950,total,-13
Argentina,1950,total,-12
Argentina,1950,total,-12
Argentina,1950,total,-11
Argentina,1950,total,-11
Argentina,1950,total,-9
Argentina,1950,total,-12
Argentina,1950,total,-13
Argentina,1950,total,-13
Argentina,1950,total,-12
Argentina,1950,total,-11
Argentina,1950,total,-11
Argentina,1950,total,-10
Argentina,1950,total,-10
Argentina,1950,total,-15
Argentina,1950,total,-14
Argentina,1950,total,-12
Argentina,1950,total,-11
Argentina,1950,total,-13
Argentina,1950,total,-15
Argentina,1950,total,-12
Argentina,1950,total,-11
Argentina,1950,total,-15
