ctry,year,gdp_pc,urban,lit,Ex,water,sewage,elec,us_aid,tfr,gyear,y,wy,max_le,ctry_year,igdp_pc,iurban,ilit,itfr,iwater,isewage,ielec,igdp_log,iurban_log,ilit_log,iwater_log,isewage_log,ielec_log,zyear
Argentina,1900,2875.3515625,,51,36.258674621582,,,,,,1950,0.476239081930319,-0.435841903514667,76.1354454040527,Argentina.1950,2875.3515625,37,51,3.20000004768372,84.1999969482422,74.3000030517578,81.3199996948242,0.0530274566641884,-0.145562938242554,-0.180640957871394,0.233490272348795,0.445439249297388,0.188490554400447,-1.9801931230662
Bolivia,1900,,,19,29.7762603759766,,,,,,1950,0.420289366729657,-0.606554509712884,70.847046661377,Bolivia.1950,1689.82458496094,22,19,6.80000019073486,39.5999984741211,14.3999996185303,35.1699981689453,-0.478522765051198,-0.665438397528463,-1.16802761142928,-0.520875532927193,-1.19544356340878,-0.649708036184003,-1.9801931230662
Brazil,1900,678.436401367188,,35,36.6226444244385,,,,,,1950,0.501759292196465,-0.361440610667868,72.9884727478027,Brazil.1950,678.436401367188,21,35,6.19999980926514,22.6299991607666,21.5100002288818,36.8400001525879,-1.39111203098619,-0.711958413163356,-0.557118529106306,-1.08042819009488,-0.794153789579425,-0.603317215077908,-1.9801931230662
Chile,1900,2194.03295898438,,44,31.2775993347168,,,,,,1950,0.396495260312834,-0.683194107512853,78.8851783752441,Chile.1950,2194.03295898438,33,44,5,79.8000030517578,50.2999992370606,74.4300003051758,-0.217406108651192,-0.259973289420298,-0.328276956677458,0.17981893004301,0.0553333184381302,0.0999576598650691,-1.9801931230662
Costa_Rica,1900,,,36,35.6509304046631,,,,,,1950,0.44718571238568,-0.523010962772108,79.7228744506836,Costa_Rica.1950,1623.8095703125,15,36,6.69999980926514,78.5,41.4000015258789,64.870002746582,-0.518372517513669,-1.04843064978457,-0.52894765213961,0.163394012133032,-0.139390825811534,-0.0375161210421711,-1.9801931230662
Cuba,1900,1140,,46,31.4905948638916,,,,,,1950,0.3982799864805,-0.677346598451855,79.0664756774902,Cuba.1950,1140,33,46,4.09999990463257,89.5,81.5,94.1600036621094,-0.872119230311508,-0.259973289420298,-0.283825194106624,0.294534012625478,0.537931276747036,0.335094071237509,-1.9801931230662
Guatemala,1900,,,12,29.8250131607056,,,,,,1950,0.426777081836588,-0.586122967835055,69.8842895507813,Guatemala.1950,1272.3857421875,30,12,7.09999990463257,51.2000007629395,18,35.7999992370605,-0.762253817336208,-0.355283469224623,-1.62755994080772,-0.263965065708709,-0.972299985603616,-0.631953558511425,-1.9801931230662
Mexico,1900,1318.64782714844,,24,29.8894691467285,,,,,,1950,0.39459572796186,-0.689436422217929,75.7470672607422,Mexico.1950,1318.64782714844,16,24,6.90000009536743,82.3000030517578,65.9000015258789,95.2399978637695,-0.726540654521013,-0.983892128646998,-0.934412760247774,0.210666532108589,0.32546672116314,0.346498568581769,-1.9801931230662
Peru,1900,680.321655273438,,24,31.860143661499,,,,,,1950,0.4291979549324,-0.578546428643414,74.2318161010742,Peru.1950,680.321655273438,12,24,6.90000009536743,55.9000015258789,41.2999992370605,54.9700012207031,-1.38833706290882,-1.27157420109878,-0.934412760247774,-0.176140205197697,-0.141809262005904,-0.203113826527638,-1.9801931230662
Uruguay,1900,2218.57934570312,44,59,29.5020093917847,,,,,,1950,0.383029385826337,-0.727875522571179,77.0228355407715,Uruguay.1950,2218.57934570312,44,59,2.70000004768372,83.5,91.1999969482422,79.3300018310547,-0.206280436047081,0.0277087830314824,-0.0349291466899997,0.225142019201479,0.650383120118247,0.16371495978848,-1.9801931230662
Argentina,1901,2880.38720703125,,,36.6311988830566,,,,,,1950,0.481131996912265,-0.421433287370074,76.1354454040527,Argentina.1950,2880.38720703125,37,51.9490946412906,3.20000004768372,84.1999969482422,74.3000030517578,81.3199996948242,0.0547772392786197,-0.145562938242554,-0.162202300703968,0.233490272348795,0.445439249297388,0.188490554400447,-1.9473539815885
Bolivia,1901,,,,29.7883501052857,,,,,,1950,0.420460012224124,-0.606014684036831,70.847046661377,Bolivia.1950,1689.82458496094,22,19.054687758366,6.80000019073486,39.5999984741211,14.3999996185303,35.1699981689453,-0.478522765051198,-0.665438397528463,-1.16515344274024,-0.520875532927193,-1.19544356340878,-0.649708036184003,-1.9473539815885
Brazil,1901,729.936950683594,,,36.9040832519531,,,,,,1950,0.505615227482125,-0.350350452568629,72.9884727478027,Brazil.1950,729.936950683594,21,35,6.19999980926514,22.6299991607666,21.5100002288818,36.8400001525879,-1.31794461021421,-0.711958413163356,-0.557118529106306,-1.08042819009488,-0.794153789579425,-0.603317215077908,-1.9473539815885
Chile,1901,2222.51416015625,,,31.6063480377197,,,,,,1950,0.400662693407035,-0.669565969395795,78.8851783752441,Chile.1950,2222.51416015625,33,44.8605092127707,5,79.8000030517578,50.2999992370606,74.4300003051758,-0.204508433058384,-0.259973289420298,-0.30890871041403,0.17981893004301,0.0553333184381302,0.0999576598650691,-1.9473539815885
Costa_Rica,1901,,,,35.8062858581543,,,,,,1950,0.44913440596405,-0.517071034884684,79.7228744506836,Costa_Rica.1950,1623.8095703125,15,37.1,6.69999980926514,78.5,41.4000015258789,64.870002746582,-0.518372517513669,-1.04843064978457,-0.49884962098233,0.163394012133032,-0.139390825811534,-0.0375161210421711,-1.9473539815885
Cuba,1901,,,,31.8556146621704,,,,,,1950,0.402896605536188,-0.662297967511877,79.0664756774902,Cuba.1950,1217.82372179883,33,47.337436392142,4.09999990463257,89.5,81.5,94.1600036621094,-0.806082061491427,-0.259973289420298,-0.255165141078412,0.294534012625478,0.537931276747036,0.335094071237509,-1.9473539815885
Guatemala,1901,,,,29.8336668014526,,,,,,1950,0.426900909964522,-0.585734810002098,69.8842895507813,Guatemala.1950,1272.3857421875,30,12.0699275253052,7.09999990463257,51.2000007629395,18,35.7999992370605,-0.762253817336208,-0.355283469224623,-1.62174956003577,-0.263965065708709,-0.972299985603616,-0.631953558511425,-1.9473539815885
Mexico,1901,1415.49829101563,,,29.8366966247559,,,,,,1950,0.393899034031902,-0.691730791547814,75.7470672607422,Mexico.1950,1415.49829101563,16,24.6485180972418,6.90000009536743,82.3000030517578,65.9000015258789,95.2399978637695,-0.655665874485013,-0.983892128646998,-0.907749809673119,0.210666532108589,0.32546672116314,0.346498568581769,-1.9473539815885
Peru,1901,720.989990234375,,,31.8592586517334,,,,,,1950,0.429186032689188,-0.578583679437192,74.2318161010742,Peru.1950,720.989990234375,12,24.548486825395,6.90000009536743,55.9000015258789,41.2999992370605,54.9700012207031,-1.33027751768155,-1.27157420109878,-0.911816374694914,-0.176140205197697,-0.141809262005904,-0.203113826527638,-1.9473539815885
Uruguay,1901,2233.33325195313,,,30.3760538101196,,,,,,1950,0.394377246654861,-0.690155647678148,77.0228355407715,Uruguay.1950,2233.33325195313,43.8970877281295,59.6,2.70000004768372,83.5,91.1999969482422,79.3300018310547,-0.199652291428002,0.0253671282268524,-0.0248110165244153,0.225142019201479,0.650383120118247,0.16371495978848,-1.9473539815885
Argentina,1902,2716.50659179688,,,37.0098533630371,,,,,,1950,0.486105429168042,-0.406860356496347,76.1354454040527,Argentina.1950,2716.50659179688,37,52.8872793622945,3.20000004768372,84.1999969482422,74.3000030517578,81.3199996948242,-0.0038007791342487,-0.145562938242554,-0.144303746389113,0.233490272348795,0.445439249297388,0.188490554400447,-1.9145148401108
Bolivia,1902,,,,29.876407623291,,,,,,1950,0.421702936554143,-0.602086760499194,70.847046661377,Bolivia.1950,1689.82458496094,22,19.1151741838995,6.80000019073486,39.5999984741211,14.3999996185303,35.1699981689453,-0.478522765051198,-0.665438397528463,-1.16198411106932,-0.520875532927193,-1.19544356340878,-0.649708036184003,-1.9145148401108
Brazil,1902,714.780090332031,,,37.1878395080566,,,,,,1950,0.509502913378553,-0.339205653558125,72.9884727478027,Brazil.1950,714.780090332031,21,35,6.19999980926514,22.6299991607666,21.5100002288818,36.8400001525879,-1.33892784228334,-0.711958413163356,-0.557118529106306,-1.08042819009488,-0.794153789579425,-0.603317215077908,-1.9145148401108
Chile,1902,2292.57763671875,,,31.7100477218628,,,,,,1950,0.401977258275606,-0.665285942413591,78.8851783752441,Chile.1950,2292.57763671875,33,45.7294501971165,5,79.8000030517578,50.2999992370606,74.4300003051758,-0.173470702616681,-0.259973289420298,-0.289724075803267,0.17981893004301,0.0553333184381302,0.0999576598650691,-1.9145148401108
Costa_Rica,1902,,,,35.9624843597412,,,,,,1950,0.451093674275224,-0.511113199901727,79.7228744506836,Costa_Rica.1950,1623.8095703125,15,38.2,6.69999980926514,78.5,41.4000015258789,64.870002746582,-0.518372517513669,-1.04843064978457,-0.46963107498319,0.163394012133032,-0.139390825811534,-0.0375161210421711,-1.9145148401108
Cuba,1902,,,,32.228217124939,,,,,,1950,0.407609126988243,-0.647049010830613,79.0664756774902,Cuba.1950,1290.522977144,33,48.6221091415857,4.09999990463257,89.5,81.5,94.1600036621094,-0.748099947861451,-0.259973289420298,-0.22838824252552,0.294534012625478,0.537931276747036,0.335094071237509,-1.9145148401108
Guatemala,1902,,,,29.8423204421997,,,,,,1950,0.427024738092456,-0.585346718948617,69.8842895507813,Guatemala.1950,1272.3857421875,30,12.1446896918283,7.09999990463257,51.2000007629395,18,35.7999992370605,-0.762253817336208,-0.355283469224623,-1.61557457874974,-0.263965065708709,-0.972299985603616,-0.631953558511425,-1.9145148401108
Mexico,1902,1347.88549804688,,,29.8604040145874,,,,,,1950,0.394212014991943,-0.690699750260909,75.7470672607422,Mexico.1950,1347.88549804688,16,25.2862543950965,6.90000009536743,82.3000030517578,65.9000015258789,95.2399978637695,-0.704610425937307,-0.983892128646998,-0.882205647047276,0.210666532108589,0.32546672116314,0.346498568581769,-1.9145148401108
Peru,1902,757.016845703125,,,31.8584232330322,,,,,,1950,0.429174778502707,-0.578618843461331,74.2318161010742,Peru.1950,757.016845703125,12,25.0861988007023,6.90000009536743,55.9000015258789,41.2999992370605,54.9700012207031,-1.28151726526961,-1.27157420109878,-0.890148744257744,-0.176140205197697,-0.141809262005904,-0.203113826527638,-1.9145148401108
Uruguay,1902,2572.48681640625,,,31.3548469543457,,,,,,1950,0.407085077226847,-0.648739253021899,77.0228355407715,Uruguay.1950,2572.48681640625,43.8113275015708,60.2,2.70000004768372,83.5,91.1999969482422,79.3300018310547,-0.0582744288227612,0.02341155181688,-0.0147942382809436,0.225142019201479,0.650383120118247,0.16371495978848,-1.9145148401108
Argentina,1903,2992.31518554688,,,37.3947944641113,,,,,,1950,0.491161432965371,-0.39211787528543,76.1354454040527,Argentina.1950,2992.31518554688,37,53.8145541630115,3.20000004768372,84.1999969482422,74.3000030517578,81.3199996948242,0.0928999046091512,-0.145562938242554,-0.126922636536808,0.233490272348795,0.445439249297388,0.188490554400447,-1.8816756986331
Bolivia,1903,,,,29.9648418426514,,,,,,1950,0.422951177991545,-0.598149044853207,70.847046661377,Bolivia.1950,1689.82458496094,22,19.1824331778459,6.80000019073486,39.5999984741211,14.3999996185303,35.1699981689453,-0.478522765051198,-0.665438397528463,-1.15847166902769,-0.520875532927193,-1.19544356340878,-0.649708036184003,-1.8816756986331
Brazil,1903,713.920776367188,,,37.4739418029785,,,,,,1950,0.513422741868601,-0.328004766651378,72.9884727478027,Brazil.1950,713.920776367188,21,35,6.19999980926514,22.6299991607666,21.5100002288818,36.8400001525879,-1.34013077298563,-0.711958413163356,-0.557118529106306,-1.08042819009488,-0.794153789579425,-0.603317215077908,-1.8816756986331
Chile,1903,2138.78466796875,,,31.8847074508667,,,,,,1950,0.404191358979963,-0.658097199782835,78.8851783752441,Chile.1950,2138.78466796875,33,46.6069474923213,5,79.8000030517578,50.2999992370606,74.4300003051758,-0.242909737171482,-0.259973289420298,-0.270716972758549,0.17981893004301,0.0553333184381302,0.0999576598650691,-1.8816756986331
Costa_Rica,1903,,,,36.1195373535156,,,,,,1950,0.453063660867611,-0.505137059082001,79.7228744506836,Costa_Rica.1950,1623.8095703125,15,39.3,6.69999980926514,78.5,41.4000015258789,64.870002746582,-0.518372517513669,-1.04843064978457,-0.441242071720504,0.163394012133032,-0.139390825811534,-0.0375161210421711,-1.8816756986331
Cuba,1903,,,,32.6677379608154,,,,,,1950,0.413168004276125,-0.62920250741586,79.0664756774902,Cuba.1950,1358.09776603552,33,49.8540182483313,4.09999990463257,89.5,81.5,94.1600036621094,-0.697062473510366,-0.259973289420298,-0.203367490649438,0.294534012625478,0.537931276747036,0.335094071237509,-1.8816756986331
Guatemala,1903,,,,29.8509759902954,,,,,,1950,0.427148593513343,-0.584958609102026,69.8842895507813,Guatemala.1950,1272.3857421875,30,12.2248058378488,7.09999990463257,51.2000007629395,18,35.7999992370605,-0.762253817336208,-0.355283469224623,-1.60899943774547,-0.263965065708709,-0.972299985603616,-0.631953558511425,-1.8816756986331
Mexico,1903,1482.74633789063,,,29.8841361999512,,,,,,1950,0.394525323298416,-0.689668161388517,75.7470672607422,Mexico.1950,1482.74633789063,16,25.9132088935642,6.90000009536743,82.3000030517578,65.9000015258789,95.2399978637695,-0.609251490793318,-0.983892128646998,-0.857713756003424,0.210666532108589,0.32546672116314,0.346498568581769,-1.8816756986331
Peru,1903,798.310424804688,,,31.8576078414917,,,,,,1950,0.429163794108369,-0.57865316503615,74.2318161010742,Peru.1950,798.310424804688,12,25.6131359259218,6.90000009536743,55.9000015258789,41.2999992370605,54.9700012207031,-1.22840524637785,-1.27157420109878,-0.869361248606015,-0.176140205197697,-0.141809262005904,-0.203113826527638,-1.8816756986331
Uruguay,1903,2614.984375,,,32.3748140335083,,,,,,1950,0.420327475692205,-0.606433943052803,77.0228355407715,Uruguay.1950,2614.984375,43.7427193203238,60.8,2.70000004768372,83.5,91.1999969482422,79.3300018310547,-0.0418893703622816,0.0218443325327877,-0.00487680162359805,0.225142019201479,0.650383120118247,0.16371495978848,-1.8816756986331
Argentina,1904,3191.03979492188,,,37.8229541778564,,,,,,1950,0.496785091058824,-0.375802506729662,76.1354454040527,Argentina.1950,3191.03979492188,37,54.7309190434417,3.20000004768372,84.1999969482422,74.3000030517578,81.3199996948242,0.15719932548817,-0.145562938242554,-0.11003779326512,0.233490272348795,0.445439249297388,0.188490554400447,-1.84883655715539
Bolivia,1904,,,,30.0536699295044,,,,,,1950,0.424204978834897,-0.594200805815555,70.847046661377,Bolivia.1950,1689.82458496094,22,19.2576696675968,6.80000019073486,39.5999984741211,14.3999996185303,35.1699981689453,-0.478522765051198,-0.665438397528463,-1.15455718492106,-0.520875532927193,-1.19544356340878,-0.649708036184003,-1.84883655715539
Brazil,1904,712.768676757813,,,37.7624111175537,,,,,,1950,0.517375000406356,-0.31674661686299,72.9884727478027,Brazil.1950,712.768676757813,21,35,6.19999980926514,22.6299991607666,21.5100002288818,36.8400001525879,-1.34174584045148,-0.711958413163356,-0.557118529106306,-1.08042819009488,-0.794153789579425,-0.603317215077908,-1.84883655715539
Chile,1904,2287.48168945313,,,32.0610189437866,,,,,,1950,0.406426398521627,-0.650865656431314,78.8851783752441,Chile.1950,2287.48168945313,33,47.4931281024377,5,79.8000030517578,50.2999992370606,74.4300003051758,-0.175695979193066,-0.259973289420298,-0.251881561548686,0.17981893004301,0.0553333184381302,0.0999576598650691,-1.84883655715539
Costa_Rica,1904,,,,36.2774353027344,,,,,,1950,0.455044246117537,-0.499143010103249,79.7228744506836,Costa_Rica.1950,1623.8095703125,15,40.4,6.69999980926514,78.5,41.4000015258789,64.870002746582,-0.518372517513669,-1.04843064978457,-0.413636805628615,0.163394012133032,-0.139390825811534,-0.0375161210421711,-1.84883655715539
Cuba,1904,,,,32.8287057876587,,,,,,1950,0.415203858605839,-0.622703686768937,79.0664756774902,Cuba.1950,1420.5480884734,33,51.0331637123786,4.09999990463257,89.5,81.5,94.1600036621094,-0.652104717776844,-0.259973289420298,-0.179990900334416,0.294534012625478,0.537931276747036,0.335094071237509,-1.84883655715539
Guatemala,1904,,,,29.8596324920654,,,,,,1950,0.427272462580706,-0.584570523202119,69.8842895507813,Guatemala.1950,1272.3857421875,30,12.3108724472295,7.09999990463257,51.2000007629395,18,35.7999992370605,-0.762253817336208,-0.355283469224623,-1.60198377986203,-0.263965065708709,-0.972299985603616,-0.631953558511425,-1.84883655715539
Mexico,1904,1492.32824707031,,,29.9078779220581,,,,,,1950,0.394838757507363,-0.688636688254093,75.7470672607422,Mexico.1950,1492.32824707031,16,26.5293815926448,6.90000009536743,82.3000030517578,65.9000015258789,95.2399978637695,-0.602810010395022,-0.983892128646998,-0.834213732455977,0.210666532108589,0.32546672116314,0.346498568581769,-1.84883655715539
Peru,1904,814.911376953125,,,31.8568305969238,,,,,,1950,0.429153323603824,-0.578685881405051,74.2318161010742,Peru.1950,814.911376953125,12,26.1292982010534,6.90000009536743,55.9000015258789,41.2999992370605,54.9700012207031,-1.20782340430662,-1.27157420109878,-0.849409369401169,-0.176140205197697,-0.141809262005904,-0.203113826527638,-1.84883655715539
Uruguay,1904,2639.71337890625,,,33.4904823303223,,,,,,1950,0.434812378630157,-0.561071169446521,77.0228355407715,Uruguay.1950,2639.71337890625,43.6912631843886,61.4,2.70000004768372,83.5,91.1999969482422,79.3300018310547,-0.032477150049802,0.0206673040959768,0.00494324455737694,0.225142019201479,0.650383120118247,0.16371495978848,-1.84883655715539
Argentina,1905,3478.61694335938,,,38.4898548126221,,,,,,1950,0.505544488619663,-0.350553576593238,76.1354454040527,Argentina.1950,3478.61694335938,37,55.6363740035851,3.20000004768372,84.1999969482422,74.3000030517578,81.3199996948242,0.243487292003064,-0.145562938242554,-0.093629394542833,0.233490272348795,0.445439249297388,0.188490554400447,-1.81599741567769
Bolivia,1905,,,,30.1428928375244,,,,,,1950,0.42546435254523,-0.590242035499196,70.847046661377,Bolivia.1950,1689.82458496094,22,19.34239242963,6.80000019073486,39.5999984741211,14.3999996185303,35.1699981689453,-0.478522765051198,-0.665438397528463,-1.15016740451752,-0.520875532927193,-1.19544356340878,-0.649708036184003,-1.81599741567769
Brazil,1905,718.142272949219,,,38.0532665252686,,,,,,1950,0.521359950313718,-0.305430072454267,72.9884727478027,Brazil.1950,718.142272949219,21,35,6.19999980926514,22.6299991607666,21.5100002288818,36.8400001525879,-1.33423507054143,-0.711958413163356,-0.557118529106306,-1.08042819009488,-0.794153789579425,-0.603317215077908,-1.81599741567769
Chile,1905,2259.240234375,,,32.2389974594116,,,,,,1950,0.408682570330967,-0.643591024643042,78.8851783752441,Chile.1950,2259.240234375,33,48.3881215575652,5,79.8000030517578,50.2999992370606,74.4300003051758,-0.188118915434796,-0.259973289420298,-0.233212229358486,0.17981893004301,0.0553333184381302,0.0999576598650691,-1.81599741567769
Colombia,1905,665.647338867188,,,30.5862083435059,,,,,,1950,0.407668203794794,-0.646858553029747,75.0272109985352,Colombia.1950,665.647338867188,12,39,6.80000019073486,67.9000015258789,55.7999992370606,60.9599990844727,-1.41014276262597,-1.27157420109878,-0.448904944466073,0.0183314443817624,0.159102112214734,-0.0996835342470241,-1.81599741567769
Costa_Rica,1905,,,,36.4362125396729,,,,,,1950,0.45703586067023,-0.493129784485712,79.7228744506836,Costa_Rica.1950,1623.8095703125,15,41.5,6.69999980926514,78.5,41.4000015258789,64.870002746582,-0.518372517513669,-1.04843064978457,-0.386773163359067,0.163394012133032,-0.139390825811534,-0.0375161210421711,-1.81599741567769
Cuba,1905,,,,33.0511388778687,,,,,,1950,0.418017100100468,-0.613755367814212,79.0664756774902,Cuba.1950,1477.87394445762,33,52.1595455337277,4.09999990463257,89.5,81.5,94.1600036621094,-0.612542961746835,-0.259973289420298,-0.158159385942279,0.294534012625478,0.537931276747036,0.335094071237509,-1.81599741567769
Guatemala,1905,,,,29.86829662323,,,,,,1950,0.427396440819882,-0.584182162008521,69.8842895507813,Guatemala.1950,1272.3857421875,30,12.4035780264751,7.09999990463257,51.2000007629395,18,35.7999992370605,-0.762253817336208,-0.355283469224623,-1.59448160908524,-0.263965065708709,-0.972299985603616,-0.631953558511425,-1.81599741567769
